user_id_map,app_name_id,timestamp,state_label,comma_separated_list_of_features
1142,5814,0.0,0,0,0
2370,5815,220.347,0,0,0
4705,4941,236.327,0,0,0
9806,1514,248.113,0,0,0
8436,6300,317.667,0,0,0
5511,3579,359.81,0,0,0
4220,2527,377.517,0,0,0
6567,6133,411.017,0,0,0
2810,7030,412.583,0,0,0
6337,4919,416.347,0,0,0
6088,2528,460.337,0,0,0
659,5427,511.843,0,0,0
3334,1357,513.793,0,0,0
8858,809,525.487,0,0,0
9097,6891,526.713,0,0,0
9097,1361,584.917,0,0,0
8993,442,614.93,0,0,0
659,5450,647.413,0,0,0
9097,1358,732.123,0,0,0
1268,1417,734.237,0,0,0
9097,6133,749.613,0,0,0
4558,449,950.183,0,0,0
3244,2288,962.127,0,0,0
2554,939,1027.027,0,0,0
6436,5396,1031.12,0,0,0
8858,2573,1080.487,0,0,0
2320,4733,1195.88,0,0,0
7983,1353,1210.453,0,0,0
1728,2286,1214.523,0,0,0
6088,513,1266.337,0,0,0
7229,2090,1267.897,0,0,0
8870,3698,1312.163,0,0,0
4858,1921,1381.113,0,0,0
9573,7158,1397.127,0,0,0
6289,2013,1430.08,0,0,0
7844,818,1513.407,0,0,0
7224,2255,1552.957,0,0,0
8230,2585,1586.86,0,0,0
8230,3081,1646.117,0,0,0
2214,2339,1651.703,0,0,0
1665,2255,1658.86,0,0,0
4685,1211,1690.443,0,0,0
8874,3352,1700.603,0,0,0
701,5815,1854.03,0,0,0
2174,952,1877.407,0,0,0
1728,88,2023.02,0,0,0
701,1497,2027.987,0,0,0
956,7158,2135.22,0,0,0
4949,442,2145.457,0,0,0
3537,1893,2198.007,0,0,0
2388,1199,2218.01,0,0,0
8011,3576,2285.983,0,0,0
5538,5536,2340.053,0,0,0
1728,2651,2356.257,0,0,0
8199,4840,2419.41,0,0,0
956,1051,2425.737,0,0,0
2174,4130,2624.163,0,0,0
3999,6297,2671.56,0,0,0
7190,1759,2752.85,0,0,0
3189,4823,2790.24,0,0,0
1268,977,2801.573,0,0,0
6053,6194,2822.343,0,0,0
9004,7505,2872.92,0,0,0
2084,1289,2912.86,0,0,0
8089,2453,2937.54,0,0,0
2174,6865,2970.567,0,0,0
1268,4526,2987.29,0,0,0
8925,4834,3067.627,0,0,0
1268,4515,3075.847,0,0,0
7705,11,3123.633,0,0,0
8089,6600,3148.26,0,0,0
1268,4523,3199.393,0,0,0
9023,2318,3225.547,0,0,0
659,5456,3269.67,0,0,0
6569,7835,3332.637,0,0,0
6550,4750,3362.053,0,0,0
4140,5673,3402.037,0,0,0
6289,2013,3441.277,0,0,0
9454,7082,3450.563,0,0,0
4140,5672,3479.833,0,0,0
1834,6891,3504.853,0,0,0
4140,4602,3611.7,0,0,0
1834,4330,3648.657,0,0,0
4939,1250,3768.69,0,0,0
365,922,3770.347,0,0,0
8897,6543,3805.957,0,0,0
4775,7698,3931.867,0,0,0
6091,3308,3936.68,0,0,0
4140,2896,4036.23,0,0,0
8897,5163,4039.457,0,0,0
2027,5739,4102.71,0,0,0
2684,1770,4113.973,0,0,0
129,2846,4116.2,0,0,0
4325,3836,4172.24,0,0,0
1368,3264,4186.457,0,0,0
6557,7068,4189.003,0,0,0
2684,7778,4240.973,0,0,0
2392,3308,4244.88,0,0,0
5264,957,4288.46,0,0,0
2370,2013,4317.65,0,0,0
9729,4213,4355.27,0,0,0
3952,7027,4429.557,0,0,0
7168,3259,4437.527,0,0,0
8232,7311,4507.953,0,0,0
9729,3632,4538.213,0,0,0
4325,2760,4567.217,0,0,0
8232,950,4569.15,0,0,0
2232,507,4656.84,0,0,0
6584,2563,4664.81,0,0,0
6557,2728,4730.103,0,0,0
9729,4029,4754.583,0,0,0
7183,7082,4778.393,0,0,0
3937,2325,4827.853,0,0,0
1191,5672,4867.87,0,0,0
6946,5072,4923.847,0,0,0
1771,1781,4929.067,0,0,0
2684,6018,4985.79,0,0,0
1694,1377,5051.367,0,0,0
5558,2315,5101.06,0,0,0
9549,4415,5154.997,0,0,0
9549,495,5189.797,0,0,0
9769,4402,5320.0,0,0,0
4753,5318,5404.63,0,0,0
428,4179,5405.803,0,0,0
3636,1444,5569.853,0,0,0
3928,6081,5579.153,0,0,0
3937,6543,5660.797,0,0,0
9417,5673,5710.2,0,0,0
2634,558,5718.403,0,0,0
8690,4404,5748.8,0,0,0
9769,5491,5934.443,0,0,0
9769,6855,6008.607,0,0,0
8191,3308,6032.297,0,0,0
2634,4529,6115.98,0,0,0
1760,3261,6118.04,0,0,0
2684,5082,6120.997,0,0,0
7110,3518,6276.907,0,0,0
7110,4632,6291.2,0,0,0
5372,6639,6311.783,0,0,0
1087,4225,6452.9,0,0,0
1757,1382,6538.73,0,0,0
3915,2729,6628.957,0,0,0
3731,7784,6797.307,0,0,0
8625,1923,6814.217,0,0,0
5498,5868,6840.97,0,0,0
6662,6274,6868.567,0,0,0
5498,4469,6912.797,0,0,0
6923,5129,6925.563,0,0,0
9219,1564,7055.017,0,0,0
